name,tapebert_mlp_pred_result_1,tapebert_mlp_pred_result_2,tapebert_mlp_pred_result_3,tapebert_mlp_pred_result_4,tapebert_mlp_pred_result_5,tapebert_mlp_pred_result_vote,tapebert_svm_pred_result_1,tapebert_svm_pred_result_2,tapebert_svm_pred_result_3,tapebert_svm_pred_result_4,tapebert_svm_pred_result_5,tapebert_svm_pred_result_vote,pssm_cnn_pred_result_1,pssm_cnn_pred_result_2,pssm_cnn_pred_result_3,pssm_cnn_pred_result_4,pssm_cnn_pred_result_5,pssm_cnn_pred_result_vote,hybrid_bilstm_pred_result_1,hybrid_bilstm_pred_result_2,hybrid_bilstm_pred_result_3,hybrid_bilstm_pred_result_4,hybrid_bilstm_pred_result_5,hybrid_bilstm_pred_result_vote
lcl|NC_012442.1_prot_WP_002966577.1_1,0.006,0.007,0.088,0.005,0.032,0.0,0.074,0.061,0.068,0.168,0.093,0.0,0.381,0.282,0.292,0.18,0.349,0.0,0.036,0.011,0.003,0.022,0.047,0.0
lcl|NC_012442.1_prot_WP_002966575.1_2,0.314,0.464,0.275,0.38,0.154,0.0,0.047,0.11,0.067,0.145,0.059,0.0,0.522,0.192,0.146,0.017,0.096,0.2,0.077,0.107,0.019,0.083,0.016,0.0
lcl|NC_012442.1_prot_WP_004685890.1_3,0.0,0.0,0.003,0.001,0.0,0.0,0.004,0.011,0.004,0.005,0.006,0.0,0.06,0.016,0.012,0.02,0.018,0.0,0.006,0.0,0.002,0.011,0.0,0.0
lcl|NC_012442.1_prot_WP_002966573.1_4,0.0,0.0,0.008,0.0,0.0,0.0,0.017,0.017,0.016,0.031,0.015,0.0,0.024,0.022,0.017,0.058,0.035,0.0,0.013,0.003,0.004,0.037,0.005,0.0
lcl|NC_012442.1_prot_WP_002966572.1_5,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.002,0.002,0.002,0.0,0.044,0.012,0.022,0.014,0.012,0.0,0.004,0.001,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002966571.1_6,0.006,0.007,0.007,0.017,0.01,0.0,0.017,0.015,0.007,0.015,0.015,0.0,0.056,0.04,0.036,0.059,0.057,0.0,0.021,0.005,0.001,0.004,0.0,0.0
lcl|NC_012442.1_prot_WP_004681138.1_7,0.001,0.0,0.001,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.003,0.0,0.013,0.013,0.007,0.004,0.004,0.0,0.005,0.002,0.002,0.003,0.001,0.0
lcl|NC_012442.1_prot_WP_002968810.1_9,0.118,0.154,0.081,0.045,0.026,0.0,0.008,0.012,0.01,0.003,0.01,0.0,0.181,0.23,0.165,0.22,0.118,0.0,0.013,0.007,0.014,0.021,0.004,0.0
lcl|NC_012442.1_prot_WP_004681144.1_11,0.0,0.0,0.006,0.0,0.0,0.0,0.018,0.014,0.01,0.019,0.013,0.0,0.016,0.006,0.01,0.003,0.007,0.0,0.036,0.0,0.005,0.022,0.001,0.0
lcl|NC_012442.1_prot_WP_004685888.1_12,0.006,0.038,0.035,0.008,0.007,0.0,0.042,0.029,0.047,0.075,0.054,0.0,0.02,0.01,0.008,0.002,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0
lcl|NC_012442.1_prot_WP_004686826.1_13,0.0,0.001,0.016,0.0,0.0,0.0,0.047,0.045,0.05,0.076,0.031,0.0,0.092,0.073,0.065,0.013,0.053,0.0,0.014,0.001,0.001,0.011,0.003,0.0
lcl|NC_012442.1_prot_WP_004685886.1_14,0.238,0.223,0.34,0.302,0.166,0.0,0.118,0.157,0.149,0.158,0.228,0.0,0.036,0.013,0.028,0.024,0.007,0.0,0.307,0.059,0.023,0.167,0.043,0.0
lcl|NC_012442.1_prot_WP_005974765.1_15,0.0,0.001,0.014,0.004,0.001,0.0,0.013,0.031,0.017,0.019,0.029,0.0,0.018,0.006,0.01,0.006,0.004,0.0,0.088,0.002,0.001,0.391,0.003,0.0
lcl|NC_012442.1_prot_WP_002966561.1_16,0.233,0.281,0.238,0.288,0.165,0.0,0.095,0.103,0.162,0.085,0.169,0.0,0.018,0.021,0.01,0.023,0.004,0.0,0.36,0.008,0.015,0.069,0.024,0.0
lcl|NC_012442.1_prot_WP_004685885.1_17,0.007,0.001,0.031,0.009,0.003,0.0,0.023,0.023,0.033,0.026,0.025,0.0,0.16,0.133,0.131,0.136,0.174,0.0,0.003,0.001,0.0,0.004,0.0,0.0
lcl|NC_012442.1_prot_WP_004685884.1_18,0.001,0.124,0.25,0.017,0.006,0.0,0.073,0.191,0.028,0.03,0.037,0.0,0.018,0.465,0.254,0.089,0.566,0.2,0.002,0.442,0.014,0.273,0.013,0.0
lcl|NC_012442.1_prot_WP_004681156.1_19,0.28,0.131,0.166,0.026,0.097,0.0,0.044,0.06,0.061,0.062,0.072,0.0,0.051,0.052,0.06,0.044,0.013,0.0,0.009,0.003,0.0,0.006,0.001,0.0
lcl|NC_012442.1_prot_WP_002966558.1_20,0.003,0.002,0.003,0.013,0.009,0.0,0.012,0.014,0.014,0.012,0.005,0.0,0.097,0.018,0.016,0.02,0.034,0.0,0.005,0.004,0.015,0.005,0.0,0.0
lcl|NC_012442.1_prot_WP_002968215.1_21,0.149,0.204,0.084,0.087,0.074,0.0,0.079,0.064,0.096,0.149,0.081,0.0,0.351,0.118,0.286,0.115,0.247,0.0,0.026,0.001,0.001,0.012,0.0,0.0
lcl|NC_012442.1_prot_WP_002966556.1_22,0.011,0.006,0.032,0.013,0.012,0.0,0.038,0.017,0.028,0.022,0.027,0.0,0.209,0.096,0.146,0.079,0.098,0.0,0.301,0.041,0.061,0.123,0.28,0.0
lcl|NC_012442.1_prot_WP_002966555.1_23,0.0,0.0,0.002,0.001,0.001,0.0,0.004,0.007,0.004,0.007,0.004,0.0,0.029,0.033,0.033,0.05,0.028,0.0,0.017,0.001,0.002,0.002,0.001,0.0
lcl|NC_012442.1_prot_WP_004685883.1_24,0.02,0.076,0.024,0.107,0.029,0.0,0.046,0.04,0.025,0.025,0.049,0.0,0.05,0.06,0.036,0.053,0.092,0.0,0.028,0.047,0.006,0.016,0.002,0.0
lcl|NC_012442.1_prot_WP_002971304.1_25,0.116,0.006,0.013,0.132,0.059,0.0,0.009,0.008,0.004,0.01,0.01,0.0,0.099,0.009,0.03,0.026,0.019,0.0,0.004,0.001,0.001,0.013,0.007,0.0
lcl|NC_012442.1_prot_WP_002968219.1_26,0.016,0.001,0.004,0.008,0.004,0.0,0.003,0.004,0.001,0.004,0.004,0.0,0.057,0.008,0.008,0.01,0.002,0.0,0.022,0.008,0.0,0.012,0.039,0.0
lcl|NC_012442.1_prot_WP_004685882.1_27,0.0,0.0,0.016,0.001,0.0,0.0,0.001,0.004,0.004,0.002,0.003,0.0,0.479,0.283,0.209,0.058,0.127,0.0,0.023,0.013,0.005,0.031,0.001,0.0
lcl|NC_012442.1_prot_WP_004681173.1_28,0.0,0.001,0.007,0.002,0.0,0.0,0.026,0.022,0.014,0.028,0.017,0.0,0.026,0.069,0.036,0.007,0.061,0.0,0.196,0.001,0.01,0.074,0.005,0.0
lcl|NC_012442.1_prot_WP_032449634.1_29,0.0,0.0,0.003,0.0,0.0,0.0,0.012,0.011,0.009,0.013,0.01,0.0,0.032,0.024,0.012,0.001,0.015,0.0,0.071,0.0,0.01,0.03,0.007,0.0
lcl|NC_012442.1_prot_WP_004681176.1_31,0.002,0.001,0.02,0.001,0.001,0.0,0.012,0.017,0.007,0.019,0.014,0.0,0.007,0.002,0.007,0.002,0.001,0.0,0.013,0.0,0.004,0.047,0.01,0.0
